Class,Major
FR,DSCI
JR,CIS
JR,GSS
SO,CIS
JR,CIS
SO,CS
SO,CIS
SO,DSCI
SO,CIS
JR,DSCI
SO,CIS
SO,CIS
JR,CS
JR,EXPL
SR,CINE
SO,GEOG
FR,CIS
JR,CIS
JR,MACS
FR,CS
JR,CS
SR,MATH
SO,DSCI
SO,CIS
SO,CS
SO,EC
FR,CS
SO,ESCI
JR,EC
FR,CS
FR,CS
SO,CS
SR,MATH
SO,CIS
JR,BADM
JR,BIC
SO,CS
FR,EXPL
JR,EXPL
SO,MACS
JR,EXPL
JR,EC
SO,CIS
JR,MATH
SO,BADM
SO,EXPL
SO,CIS
SO,DSCI
SR,PHYS
FR,DSCI
JR,DSCI
SO,BIC
JR,CIS
SR,MATH
JR,BADM
SO,CIS
JR,CS
SO,EC
SO,EXPL
FR,DSCI
FR,EXPL
FR,CIS
SO,BADM
JR,PHYS
FR,CIS
SO,MUS
JR,MATH
JR,PHYS
SO,HPHY
P,CIS
SO,PHYS
SO,CIS
SO,CIS
SO,MACS
SO,EXPL
SO,CIS
FR,CS
SO,PBA
SO,CIS
FR,CS
SO,CIS
SR,DSCI
SO,DSCI
SO,CIS
SO,CIS
SO,BI
FR,CS
SR,CIS
SO,DSCI
SO,PBA
SR,CIS
SR,PHYS
SO,CS
FR,CS
SO,BIC
JR,DSCI
JR,EC
JR,DSCI
JR,CIS
SO,CIS
FR,CS
SO,PBA
U,CEP
JR,BADM
FR,CS
JR,DSCI
SO,DSCI
SR,PSY
JR,DSCI
SO,PSY
FR,EXPL
JR,PHYS
SO,CIS
SO,DSCI
SO,CIS
FR,BI
SO,MATH
SO,CIS
JR,CINE
JR,HIST
JR,DSCI
JR,BADM
SO,BADM
SO,MATH
JR,ESCI
JR,PJ
FR,CS
SO,PBA
FR,CS
SO,EXPL
SO,CIS
SO,BADM
JR,DSCI
FR,CIS
FR,PBA
SO,CS
JR,PDSG
JR,PHYS
FR,CS
FR,PBA
JR,PS
JR,BI
SO,BI
SO,MACS
SO,ART
FR,MACS
FR,MACS
FR,CS
FR,CS
JR,ACTG
JR,BADM
JR,PHYS
SO,PSY
SO,CS
JR,BADM
FR,EXPL
FR,MACS
JR,MACS
SO,EXPL
SO,EXPL
SO,CS
FR,CS
JR,J
JR,PSY
SO,BI
JR,PSY
FR,CIS
SO,CIS
SO,ATCH
JR,CIS
FR,CS
SO,CS
FR,CS
FR,CS
JR,BADM
SO,EC
JR,DSCI
SO,CIS
JR,MSCI
JR,CIS
SO,EXPL
FR,CS
FR,CS
FR,CS
SO,PBA
SO,EC
JR,CIS
FR,CS
JR,CH
FR,CS